continent_en,country_en,country_fr
Africa,Algeria,Algérie
Africa,Angola,Angola
Africa,Benin,Bénin
Africa,Botswana,Botswana
Africa,Burundi,Burundi
Africa,Cameroon,Cameroun
Africa,Central African Republic,République centrafricaine
Africa,Chad,Tchad
Africa,Comoros,Comores
Africa,Congo,Congo
Africa,Democratic Republic of Congo,République Démocratique du Congo
Africa,Djibouti,Djibouti
Africa,Egypt,Egypte
Africa,Equatorial Guinea,Guinée-Équatoriale
Africa,Eritrea,Erythrée
Africa,Ethiopia,Ethiopie
Africa,Gabon,Gabon
Africa,Gambia,Gambie
Africa,Ghana,Ghana
Africa,Guinea,Guinée
Africa,Guinea-Bissau,Guinée-Bissau
Africa,Kenya,Kenya
Africa,Lesotho,Lesotho
Africa,Liberia,Liberia
Africa,Libya,Libye
Africa,Madagascar,Madagascar
Africa,Malawi,Malawi
Africa,Mali,Mali
Africa,Mauritania,Mauritanie
Africa,Mauritius,Ile Maurice
Africa,Morocco,Maroc
Africa,Mozambique,Mozambique
Africa,Namibia,Namibie
Africa,Niger,Niger
Africa,Nigeria,Niger
Africa,Rwanda,Rwanda
Africa,Sao Tome and Principe,Sao-Tomé-et-Principe
Africa,Senegal,Sénégal
Africa,Seychelles,Seychelles
Africa,Sierra Leone,Sierra Leone
Africa,Somalia,Somalie
Africa,South Africa,Afrique du Sud
Africa,South Sudan,Soudan
Africa,Sudan,Soudan
Africa,Swaziland,Eswatini
Africa,Tanzania,Tanzanie
Africa,Togo,Togo
Africa,Tunisia,Tunisie
Africa,Uganda,Uganda
Africa,Zambia,Zambie
Africa,Zimbabwe,Zimbabwe
Asia,Afghanistan,Afghanistan
Asia,Bahrain,Bahreïn
Asia,Bangladesh,Bangladesh
Asia,Bhutan,Bhoutan
Asia,Burma (Myanmar),Birmanie
Asia,Cambodia,Cambodge
Asia,China,Chine
Asia,Hong Kong,Hong Kong
Asia,India,Inde
Asia,Indonesia,Indonésie
Asia,Iran,Iran
Asia,Iraq,Irak
Asia,Israel,Israël
Asia,Japan,Japon
Asia,Jordan,Jordanie
Asia,Kazakhstan,Kazakhstan
Asia,North Korea,Corée du Nord
Asia,South Korea,Corée du Sud
Asia,Kuwait,Koweït
Asia,Kyrgyzstan,Kirghizistan
Asia,Laos,Laos
Asia,Lebanon,Liban
Asia,Malaysia,Malaisie
